GLOTTOCODE;Name;ISOCODE
egni1238;Egnih;
egon1237;Egongot;
egyp1238;Egypt Sign Language;esl
egyp1245;Egyptian;
egyp1246;Egyptian (Ancient);egy
egyp1251;Egyptic Arabic;
egyp1253;Egyptian Arabic;arz
egyp1254;Egypto-Sudanic Arabic;
ehom1238;Ehom;
ehue1238;Ehueun;ehu
eili1234;Eilim;
eini1234;Eini;
einm1234;Ein Mahal Sign Language;
eipo1242;Eipomek;eip
eiti1240;Eitiep;eit
eivi1239;Eivissenc i formenterer;
ejag1239;Ejagham;etu
ejag1240;Bakor-Ejagham;
ejam1238;Ejamat;eja
ejar1238;Ejar;
ejee1238;E Je;
ejin1238;Ejine;
ekaa1234;Eka;
ekai1234;Ekai Chin;cey
ekaj1238;Ekajuk;eka
ekam1238;Ekama;
ekar1243;Ekari;ekg
ekhi1238;Ekhirit;
ekii1241;Eki;eki
ekii1242;Eke (Cameroon);
ekis1238;Ekisongoora;
ekit1244;Ekiti;
ekit1245;Ekit-Etebi;
ekit1246;Ekit;eke
ekiz1238;Ekiziba;
ekoi1236;Ekoid;
ekoi1237;Ekoid-Mbe;
ekom1238;Ekombe;
ekon1238;Ekonda Mongo;
ekoo1238;Eko;
ekos1238;Ekos-Yenabi-Maragin;
ekot1239;Ekoti;
ekpa1238;Ekparabong;
ekpe1250;Ekpetiama;
ekpe1251;Ekperi;
ekpe1252;Ekpe;
ekpe1253;Ekpeye;ekp
ekpo1238;Ekpon;
ekwe1238;Ekwe;
elal1235;El Alto Zapotec;zpp
elam1244;Elamite;elx
elat1240;Elat;
elat1241;Elati;
elbe1234;Elbeostfälisch;
elbo1234;Elbok;
elel1238;Elele;
elem1253;Eleme;elm
elem1254;Elembe;
elep1240;Elepi;ele
elep1241;Elepi-Kamasau-Marienberg;
eles1234;El Escolín;
elfd1234;Elfdalian;ovd
elgo1240;Elgon-Mau Kalenjin;
elhu1238;El Hugeirat;elh
elii1237;Eli;
elim1239;Elimbari;
elin1239;Eling;
elip1238;Elip;ekm
elip1240;Elip-Gunu;
elke1240;Elkei;elk
elli1239;Ellicean;
elmo1238;El Molo;elo
elna1235;El Nayar Cora;crn
elot1235;Elotepec Zapotec;zte
elow1238;Elowa;
eloy1241;Eloyi;afo
elpa1239;Elpaputi;
elpa1240;Elpaputih;elp
else1239;Elseng;mrf
elta1234;El Tajín;
eltu1238;Elt Ulid;
elun1241;Elun;
elun1242;Elung;
eluu1240;Elu (Atlantic-Congo);
eluu1241;Elu;elu
elym1237;Elymian;xly
emab1235;E'ma Buyang;yzg
emae1237;Emae;mmw
emai1241;Emai-Iuleha-Ora;ema
emai1242;Emai;
emai1243;Emaic;
eman1238;Eman;emn
emau1237;Emau;
emba1238;Embaloh;emb
embe1258;Embera;
embe1259;Emberá-Baudó;bdc
embe1260;Emberá-Catío;cto
embe1261;Emberá-Tadó;tdc
embe1262;Emberá-Chamí;cmi
embu1241;Embu;ebu
emed1238;Emede;
emer1243;Teko;eme
emha1238;Emhalhe;
emil1241;Emiliano;egl
emil1243;Emiliano-Romagnolo;eml
emir1237;Emira;
emok1238;Emok;emo
emow1238;Emowhua;
empa1240;Empamela;
empa1241;Empawa;
empe1239;Empesa Poko;
empl1237;Emplawas;emw
emsf1235;Ems Frisian;
emsl1234;Emsländisch;
emug1238;Emughan;
emum1240;Emumu;enr
emva1238;Emvane So;
emwa1238;Emwaja;
enah1238;Enaharra;
enap1235;Panare;pbh
enat1238;Enatthembo;
enaw1238;Enawené-Nawé;unk
ende1235;Ende (Papua New Guinea);
ende1245;Eastern Central Flores;
ende1246;Ende;end
ende1247;Ende-Lio;
endo1242;Endo;
endu1237;Endu;
enee1238;Eneeme;
eneg1238;Endegegny;
enen1239;Enenga;
ener1234;Ener;
enet1250;Enets;
enet1251;Enets-Nenets;
enga1251;Engan;
enga1252;Enga;enq
enga1253;Enga Sign Language;
enga1254;Enga-Kewa-Huli;
enga1255;Enga-based pidgin;
enge1239;Egene;enn
engg1245;Enggano;eno
engg1246;Enggipilu;
engl1287;English-based pidgin;
engw1234;Engwi Edzug;
engw1235;Engwi Engye;
engw1236;Engwi e Omaaya;
engw1237;Engwi-Dzing mix of Ebama;
enhw1238;Enhwe;
enii1238;Eni;
enim1238;Enim;eni
enku1238;Enkun;
enla1242;Enlai;
enmy1238;Enmylinskij;
ennn1242;En (China);
ennn1243;En;enc
enoa1238;Enoah;
enqi1234;Enqi Bai;
enre1239;Enrekang;ptt
ensh1237;Enshū;
enur1238;Enurmin;
enuu1235;Enu;enu
envu1234;Envuelto;
enwa1244;Enwang-Uda;
enwa1245;Enwan (Akwa Ibom State);enw
enwa1246;Enwan (Edu State);env
enya1245;Enyara;
enya1247;Enya;gey
enya1248;Enya (D.10);
enye1238;Enyembe;
enyo1238;Enyong;
epen1239;Epena;sja
epie1238;Epie;epi
epie1239;Epi-Efate;
epig1240;Epigi;
epig1241;Epigraphic Mayan;emy
epii1237;Epi;
epir1238;Epirote;
eqal1234;Eqal;
eraa1239;Era;
erap1240;Erap;
erav1242;Eravallan;era
erav1243;Erave River;
erav1244;Erave;kjy
eray1237;Eray;
erbi1235;Erbil (Arbel) Christian Neo-Aramaic;
eree1240;Ere (China);
eree1241;Ere;twp
eref1238;Eref;
ereg1239;Eregba;
erei1238;Erei;
eren1239;Erenga;
erev1240;Erevan;
erev1241;Erevan Kurmanji;
erga1238;Ergali;
erie1238;Erie;
erit1238;Eritai-Obokuitai-Biritai;
erit1239;Eritai;ert
erli1234;Erli of Sofia;
ermi1239;Ermitaño;
erok1237;Erokwanas;erw
erre1238;Erre;err
erro1239;Erromanga;
erro1240;Erromintxela;emx
ersu1241;Ersu;ers
ersu1242;Ersuic;
erus1238;Erúsú;
eruw1238;Eruwa;erh
eryu1239;Eryuan;
erzy1239;Erzya;myv
esan1238;Esan;ish
esar1239;Esari;
esau1238;Esaun;
esca1235;Escarpment Dogon;
esee1246;Ese (Arigidi);
esee1247;Ese;mcq
esee1248;Ese Ejja;ese
esel1238;Esel;
esfa1238;Esfahani;
esha1238;Eshan Nasu;
esht1238;Eshtehardi;esh
esim1238;Esimbi;ags
eska1234;Eskayan;esy
eski1263;Eskisehir;
eski1264;Eskimo-Aleut;
eski1265;Eskimo;
eski1266;Herschel Island Eskimo Trade Jargon;
eski1267;Eskimo-based pidgin;
esna1234;Esna–Assuan and South of Luxor–Assuan;
espe1235;Esperanto;epo
espe1236;Esperantic;
espi1234;Espiritu Santo;
essa1237;Essang;
esse1238;Esselen;esq
esse1265;Essex;
essi1238;Essin;
esta1236;Estado de México Otomi;ots
esto1238;Estonian Sign Language;eso
esto1257;Lajenge Roma;
esto1258;Estonian;ekk
esto1259;Estonian Swedish;
estr1243;Estremenho;
estr1244;Estracharia;
estr1249;Estrella;
esuk1238;Esuku;
esul1240;Esulalu;
esul1241;Esulit;
esum1241;Esuma;esm
esum1242;Esumbu;
etap1239;Etapally Gondi;
etap1240;Etapally Maria;
eteb1238;Etebi;etb
eten1239;Eten;etx
eteo1236;Eteocretan;ecr
eteo1240;Eteocypriot;ecy
ethi1238;Ethiopian Sign Language;eth
ethi1244;Ethiosemitic;
etky1238;Etkywan;ich
eton1251;Etono I;
eton1252;Etono II;
eton1253;Eton-Mengisa;eto
eton1254;Etongo;
eton1255;Eton (Vanuatu);etn
eton1256;Eton;
etor1234;Etoro-Bedamini;
etpt1234;Etp-Ti Kalam;
etru1241;Etruscan;ett
etul1244;Akweya;
etul1245;Etulo;utr
etul1246;Etulo-Idoma;
eude1234;Eudeve;
eund1238;Eunda Kolonkadhi;
euph1238;Euphrates Cluster;
euro1250;Europanto;eur
eval1238;Evalue;
evan1238;Evant;bzz
evap1240;Evapia;
evaz1237;Evaz;
even1259;Evenki;evn
even1260;Even;eve
evet1234;Evetsberg;
eviy1235;Viya;gev
evou1238;Evouzok;
ewag1241;Ewage-Notu;nou
ewan1234;Ewango;
ewdo1239;Eudokia;
ewee1241;Ewe;ewe
ewei1234;Eweic;
ewon1239;Ewondo;ewo
ewon1240;Ewondo Populaire;
ewon1241;Ewondo-Bebele;
ewon1242;Ewondo-based pidgin;
exte1234;Extended Ocotepec Zapotec;
extr1243;Extremaduran;ext
extr1244;Extreme Northern New Caledonian;
extr1245;Extreme Southern New Caledonian;
extr1247;Extreme North Vestigial Suffixes Bantu;
extr1248;Extreme North Cameroon Sign Language;
eyak1241;Eyak;eya
ezaa1238;Ezaa;eza
ezha1238;Ezha;
faaa1239;Fa';
faal1238;Faale-Piyew;
fabl1238;Fablas;
face1237;Facei;
fach1238;Fachi;
fada1240;Fadawa;
fada1248;Fadashi;
fada1249;Fada Ngurma;
fada1250;Annobonese;fab
fady1238;Fadyut-Palmerin;
faet1239;Faeto;
faet1240;Faeto and Celle San Vito Francoprovencal;
faga1239;Fagani;faf
fagu1237;Fagudu;
faia1238;Faia;
faif1234;Faifi;fif
fair1237;Fairi;
fair1238;Faire Atta;azt
fais1241;Faishang;
fait1240;Kulsab;faj
faiw1243;Faiwol;fai
faiw1244;Faiwolmin;
faiy1237;Faiyava;
fala1241;Fala;fax
fala1242;Falamic;
fala1243;Falam Chin;cfm
fala1244;Falahu;
fala1245;Falam Chin (Retired);flm
fala1246;Falasha;
fali1264;Fali-Tinguelin;
fali1285;Fali;fli
fali1286;Fali of Mubi;
fali1287;Fali of Mucella;
fali1288;Fali of Vimtim;
fali1289;Fali of Jilvu;
fali1290;Fali-Gude;
fali1291;Faliscan;xfa
falk1236;Falkland Islands English;
fama1238;Fama-Teis-Kua;
fami1234;Family Sign Language;
famm1241;Fam;fam
fana1235;Fanagalo;fng
fanf1238;Fan-Ropp-Rim-Riyom-Heikpang;
fang1246;Fang (Equatorial Guinea);fan
fang1247;Fang;
fang1248;Fang (Cameroon);fak
fang1249;Fangatau;
fani1244;Fania;fni
fani1245;Faniagara;
fani1246;Fanic;
fann1238;Fannai;
fant1241;Fante;fat
fant1242;Fantera;
fara1237;Faranga;
fare1241;Farefare;gur
fare1242;Fare;
fare1244;Vach-Vasjugan;
fari1234;Farizandi;
farn1234;Far Northwestern Nisu;nsf
farn1235;Färnäs;
faro1244;Faroese;fao
faro1245;Färömål;
fars1254;Farsic-Caucasian Tat;
fars1255;Farsic;
fars1256;Fars Persian;
farv1234;Farvi;
farw1235;Far Western Muria;fmu
farw1236;Far West Lakes Plain;
farw1237;Far Western Minufiyya;
farw1240;Far West Senari;
fasa1234;Fasalo;
fass1244;Fassano;
fass1245;Momu-Fas;fqs
fasu1242;Fasu;faa
fata1245;Fataleka;far
fata1246;Fataluku-Oirata;
fata1247;Fataluku;ddg
fate1235;Fatehpur;
fatu1237;Fatu Hiva;
faur1237;Fauro;
favo1235;Favorlang;
faya1237;Faya-Mafa;
fayi1237;Fayichuck;
fayj1234;Fayjatases;
fayu1238;Fayu;fau
fayu1239;Fayu-Kirikiri;
fayy1237;Fayyumic;
fede1238;Federe;
fefe1239;Fe'fe';fmp
fell1238;Fellahi;
femb1238;Fembe;agl
fera1239;Feramin;
ferd1234;Ferdosi;
fere1244;Fereydan;
fere1246;Fere;
ferg1237;Fer-Gula;
fern1234;Pichi;fpe
fern1235;Fernheim Plautdietsch;
fero1243;Feroge-Mangaya;
fero1244;Feroge;fer
ferr1240;Ferring;
ferr1242;Fer;
feyl1238;Ilami;
fezm1238;Fez. Meknes;
fgan1238;Fganja;
fhjo1234;FH-Jola;
fian1238;Fianse;
fiaw1234;Fiawat;
fier1238;Fierozzo;
fiji1242;Fiji Hindi;hif
fiji1243;Fijian;fij
fiji1244;Fijian-based pidgin;
fiji1245;Fiji English;
fika1238;Fika;
fika1239;Fika Bole;
fiky1238;Fikyu;
fila1237;Fila;
fili1243;Fililwa;
fili1244;Filipino;fil
fili1245;Filifita;
filo1235;Filomeno Mata Totonac;tlp
fina1240;Finasleigh Pama;
fina1241;Finanga;
fina1242;Eastern-Southern Bontok;bkb
fing1234;Fingallian;
fini1244;Finisterre-Huon;
fini1245;Finisterre-Saruwaged;
finl1235;Finland-Swedish Sign Language;fss
finn1310;Finnish Sign Language;fse
finn1317;Finnic;
finn1318;Finnish;fin
finn1319;Finnish Sign;
finn1320;Finnmárku Saami;
fino1238;Finongan;fag
finu1234;Finungwan-Mamaa-Gusan;
fioo1234;Fio;
fior1235;Fiorentino;
fior1236;Old Italian;
fipa1238;Fipa;fip
fipa1240;Fipaic;
fira1238;Firan;fir
firi1238;Firia;
firo1239;Firozkohi;
firs1234;First Vernacular Hmong;
firs1235;First Mesa;
fiwa1240;Fiwaga;fiw
fiya1238;Fiyadikka;
fjaa1238;Fjaalib;
fkar1237;Fkar;
flak1238;Flakkees;
flec1235;Flecheiros;
fleo1238;Fleo;
flin1247;Flinders Island;fln
flin1248;Flinders-Barrow;
flod1234;Floda;
flor1239;Flores-Lembata;
flor1240;Flores-Sumba-Hawu;
flor1241;Flores Barat;
flor1242;Flores Lamaholot;
flor1243;Florida English;
flup1238;Fluplands;
fluv1238;Elinkine-Kasa (Fluvial);
flyr1238;Fly River;
fnqi1234;Far North Queensland Indigenous Sign Language;
foau1240;Abawiri;flh
foda1238;Fodonon;
fogi1237;Fogi;
fohr1234;Föhr-Amrum;
foia1236;Foia Foia;ffi
foii1241;Foi;foi
foii1242;Foi (Iau);
foko1234;Fokoue;
fole1238;Folepi;
folo1238;Folopa;ppo
foma1238;Foma;fom
fomb1234;Fombap;
fond1238;Fondebougou;
fond1239;Fondonera;
fong1242;Fong;
fong1243;Gélé (Dar Fongoro);fgr
fong1244;Fongbeic;
fong1245;Fongo-Tongo;
fong1246;Fongo-Ndeng;
fonn1241;Fon;fon
font1234;Fontsa-Touala;
fony1238;Fonyi;
food1238;Foodo;fod
fool1238;Foolo;
fopo1238;Fopo-Bua;
fora1244;Fora;
fora1245;Forak;frq
ford1242;Fordata;frd
ford1243;Fordata-Larat I;
ford1244;Fordata-Larat II;
fore1265;Forest Enets;enf
fore1266;Pur Nenets;
fore1267;Foreke-Dschang;
fore1268;Forest Maninka;myq
fore1270;Fore;for
fore1271;Forest Nivaclé;
fore1272;Forest Kivu;
fore1273;Fore-Gimi;
fore1274;Forest Nenets;
forr1234;Forrest River;
fort1240;Kiai;frt
foss1234;Fossong-Wentcheng;
fote1234;Fotetsa;
fote1235;Fotemena;
foto1234;Foto;
four1238;Fourgoula;
fowe1238;Fowe;
foxx1245;Fox;
fraf1238;Frafra;
fraf1239;Farefareic;
fran1260;Arpitan;frp
fran1262;Franche-Comtois;
fran1263;Franco-Ontarien;
fran1264;Old Frankish;frk
fran1265;Frans-Westhoek Vlaams;
fran1266;Francisco León Zoque;zos
fran1267;Francais Tirailleur;
fran1268;Middle German;
fran1269;Francoprovencalic;
fran1270;Franc-Comtois;
fran1271;Frans Vlaams;
fras1238;Frassilongo;
fren1243;French Sign Language;fsl
fren1279;French-based pidgin;
fren1280;Bay Islands Sign Language;
frib1234;Fribourg German;
fris1239;Frisian;
friu1240;Friulian;fur
fufu1238;Fufula;
fuga1235;Fuga of Jimma;
fugu1238;Fu-Guang;
fuji1236;Zhangzhou;
fuka1239;Mape-East;
fuku1241;Fukui;
fuku1242;Fukuyama;
fuku1243;Fukushima;
fula1264;Fula;ful
fula1265;Eastern Fula;
fula1267;Fula Peta;
fula1268;Fulacunda;
fula1270;Fulanke;
fuli1240;Fuliiru;flr
fuli1241;Fuliiric;
fuli1242;Fuliiru-Vira;
fuln1247;Fulniô;fun
fuln1248;Fulniô Proper;
fuma1234;Fumani;
fumm1238;Fum;fum
funa1237;Funai;
fund1238;Fundi;
fung1245;Fungwa;ula
fung1246;Fungwe;
fung1247;Fungom;
funi1234;Funing;
fura1235;Furan;
furr1244;Fur;fvr
furs1241;Fursum;
furu1238;Furupagha;
furu1242;Furu;fuu
futu1245;Futuna-Aniwa;fut
fuum1238;Fuumu;
fuyu1242;Fuyug;fuy
fuyu1243;Fuyu Kirghiz;
fuzh1239;Houguan;
fwai1237;Fwâi;fwa
fwee1238;Fwe;fwe
fyam1238;Fyam;pym
fyer1240;Fyer-Tambas;
fyer1241;Fyer;fie
gaaa1244;Ga;gaa
gaaa1245;Gaa;ttb
gaak1238;G||aakhwe;
gaal1238;Gaalpu;
gaam1241;Gaam;tbi
gaan1243;Ga'anda;gqa
gaan1244;Gaan Dan;
gaba1234;Gǁabak’e;
gabi1241;Gabiano;
gabi1247;Gabin;
gabi1248;Gabigabi;
gabl1238;Gablai;
gabo1234;Gabogbo;gie
gabr1253;Gabri;gab
gabr1254;Gabri-North;
gabr1255;Gabra;
gabr1256;Gabri-Kimre;
gabr1257;Gabri (Iranian);
gabu1246;Gabu;
gabu1247;Gabula;
gabu1248;Gabutamon;gav
gach1239;Gachikolo;
gach1240;Gachsari;
gada1257;Ga-Dangme;
gada1258;Ga'dang;gdg
gada1262;Gadang;gdk
gada1263;Gadam-Bara;
gadd1242;Gaddi;gbk
gadd1244;Gaddang;gad
gadd1245;Gaddangic;
gade1236;Gade Lohar;gda
gade1242;Gade;ged
gadi1238;Gadi Chameali;
gadj1243;Gajirrabeng;gdh
gadj1244;Gadjira;
gads1256;Gadschkene;
gads1258;Gadsup;gaj
gads1260;Gadsup-Agarabi;
gady1241;Gadyri;
gady1242;Gadyaga;
gaee1238;Gae;
gaen1235;Gaena-Korafe;
gafa1240;Gafat;gft
gaga1249;Gagauz;gag
gaga1250;Gagatl;
gaga1251;Gaagudju;gbu
gaga1254;Gagatlin;
gagn1235;Gagnoa Bété;btg
gagn1236;Gagnef;
gagu1242;Gban;ggu
gaho1238;Gahore;
gahr1239;Bunan;bfu
gahu1246;Gahuku;
gaik1241;Gaika;
gaik1242;Gaikundi;gbf
gail1235;Gail;gic
gain1243;Gaina;gcn
gair1238;Gairen;
gaji1238;Gajili;
gajo1239;Gajol;
gakv1238;Gakvari;
gakv1239;Gakvarian-Gadirian;
gala1252;Galatian;xga
gala1253;Galaba;
gala1254;Galamjina;
gala1263;Gala;
gala1264;Galambu;glo
gala1265;Galambu-Bele;
gala1266;Galamkya;
gale1256;Galeshi of Mazanderan;
gale1257;Galeya;gar
gale1258;Galeg;
gale1259;Galela;gbi
gale1260;Galera;
gale1261;Galela-Loloda;
galg1238;Kalkatungic;
gali1257;Galician Portuguese;
gali1258;Galician;glg
gali1259;Galician Romani;
gali1260;Halych Karaim;
gali1261;Galice;gce
gali1262;Galibi Carib;car
gali1263;Galician Romance;
gali1266;Galibi-based pidgin;
gali1267;Galibal;
gali1268;Galila (Lake Wonchi);
gali1269;Galilean Aramaic;
gali1270;Galibi-Marworno Creole French;
gall1275;Gallo;
gall1276;Gallurese Sardinian;sdn
gall1277;Gällivare Finnish;
gall1278;Gal;gap
gall1279;Gallo-Italian;
gall1280;Gallo-Rhaetian;
galo1242;Galo;adl
galo1243;Galoli-Talur;gal
galu1239;Galubwa;
galu1240;Galu-Alu;
galu1241;Galugah;
galu1242;Galum;
galw1238;Galwa;
gama1250;Gamadia;
gama1251;Gamale Kham;kgj
gama1252;Gamadoudou;
gama1253;Gamaewe;
gama1254;Gama;
gama1258;Gamargu;
gama1259;Gama Dan;
gamb1251;Gambera;gma
gamb1252;Gambian Wolof;wof
gamb1253;Gambai;
gamb1258;Gamboura;
gamb1259;Gambian Sign Language;
gamb1260;Gambar;
gamb1261;Gambian Krio;
gamd1238;Gamdugun;
game1240;Gamela of Viana;
game1243;Gameta;
gami1242;Gamit;gbl
gami1243;Yuwaalaraay-Gamilaraay;kld
gami1244;Gamila;
gami1251;Gamiya;
gamk1238;Gamkonora;gak
gamo1241;Gamo-Ningi;bte
gamo1242;Gamo (Nigeria);
gamo1243;Gamo;gmv
gamo1244;Gamo-Gofa-Dawro;gmo
gams1239;Gamsawa;
gamt1238;Gamti;
gana1267;Ganaan;zkn
gana1268;Birrdhawal;ihw
gana1269;Ganalbingu;
gana1270;Ganang;gne
gana1271;Gana (Nigeria);
gana1272;Gananwa;
gana1273;Ganadugu;
gana1274;//Gana;gnk
gana1275;G||anakhwe;
gana1276;Ganádi;
gana1277;Gana;gnq
gana1278;Ganai;unn
gana1279;Ganaic;
ganc1238;Ganching;
ganc1239;Gan Chinese;gan
gand1253;Ganda (Bengali);
gand1254;Kaansa-Dogose;
gand1255;Ganda;lug
gand1256;Ganda-Kiaka;
gand1257;Gandua;
gand1258;Gandomabi;
gane1237;Gane;gzn
gane1238;!Gã!ne;
gang1264;Gangadi;
gang1265;Gangapari;
gang1266;Gangte;gnb
gang1267;Ganggalida;gcd
gang1268;Gangulu;gnl
gang1270;Ganglau;ggl
gang1271;Gangte-Vaiphei;
gang1272;Gangou;
ganj1240;Ganja;
ganj1241;Ganjule;
gank1239;Central Oroqen;
gano1234;Ganoqa;
gant1243;Ganta;
gant1244;Gants;gao
ganz1245;Ganzu;
ganz1246;Ganza;gza
ganz1247;Ganzi;gnz
gaol1235;Gaoyang;
gaol1242;Gaoli;
gaoo1237;Gao;gga
gaoz1234;Gaozhou;
gapa1238;Gapapaiwa;pwg
gaps1234;Gapshin-Butrin;
gara1260;Garawa (Papua New Guinea);
gara1263;Garap;
gara1267;Garawgino;
gara1268;Garasia Bhil;
gara1269;Garrwa;wrk
gara1270;Garahven;
gara1271;Gárasavvon;
garb1238;Garbabi;
gard1241;Gardenese;
gard1242;Gar Duguri;
gard1245;Gardiol;
gare1237;Garea;
garh1243;Garhwali;gbm
gari1253;Garig-Ilgar;ilg
gari1254;Garig;
gari1255;Garihe;
gari1256;Garifuna;cab
gark1239;Garkin;
garm1241;Garmiyani;
garm1242;Gamalangga;
garm1243;Garmsiri;
garm1244;Garme'i;
garo1247;Garo;grt
garo1248;Garoua;
garo1255;Garoua (Bata);
garr1238;Gar;
garr1245;Garrusi;
garr1259;Garre;gex
garr1260;Garrwan;gbc
garr1261;Garreh-Ajuran;ggh
gart1234;Gar Tibetan;
garu1246;Garus;gyb
garu1247;Garuh-Foran;
garw1238;Garwe;
garz1234;Garza;xgr
gasc1240;Gascon;
gasc1241;Gascon (Retired);gsc
gash1250;Gashua Bade;
gash1251;Gashowu;
gasi1239;Gasi;
gasm1237;Gasmata;
gass1238;Gassan;
gata1239;Gata';gaq
gath1234;Gathang;
gatu1238;Gatue;
gaud1237;Gauda-Kamrupa;
gaud1238;Gauda-Banga;
gaur1239;Gauru;
gaur1240;Gaur Kristen;
gauw1235;Gauwa;
gava1240;Gava;
gava1241;Gavar;gou
gava1245;Gavar (Aramaic);
gavi1246;Gavião Do Jiparaná;gvo
gavi1247;Gavião;
gavi1248;Nuclear Gavianic;
gavi1250;Gavianic;
gavo1238;Gavot;
gawa1246;Pech Kunar;
gawa1247;Gawar-Bati;gwt
gawa1248;Gawan Naw';
gawa1249;Gawambaraay;
gawd1238;Gaudde Goa Hindu Konkani;
gawh1238;Gawhara;
gawi1240;Gawir;
gawi1244;Gawi;
gaww1239;Ale-Gawwada;gwd
gaya1240;Gayam;
gaya1250;Gaya (East Chadic);
gaya1251;Gayar;
gaya1252;Gaya;
gaye1238;Gayegi;
gayi1237;Gayil;gyl
gaym1238;Gaymona;
gayo1244;Gayo;gay
gayo1245;Gayón;
gazi1243;Gazic;gzi
gazi1244;Gaziantep;
gazi1245;Gazi;
gbab1238;Gbabana;
gbad1235;Gbado;
gbad1242;Gbadi;
gbae1238;Gbaeson;
gbag1253;Gbagiri;
gbag1254;Gbaga-Nord;
gbag1255;Gbaga-South;
gbag1256;Gbagyi-Gbari;
gbag1257;Gbagyi Nkwa;
gbag1258;Gbagyi;gbr
gbai1234;Gbaidim;
gbam1238;Gbambiya;
gban1258;Gbanziri-Boraka;gbg
gban1259;Gbanu-Manza-Ngbaka;
gban1260;Gbanu;gbv
gban1261;Gbantu;
gban1262;Gbanmi-Sokun Kakanda;
gbap1234;Gbapen;
gbar1235;Gbarain;
gbar1246;Gbari;gby
gbar1247;Gbarbo;
gbas1238;Gba Sor;
gbat1238;Gbati-ri;gti
gbay1278;Gbayi;gyg
gbay1279;Gbaya-Manza-Ngbaka;
gbay1280;Gbaya Oriental;
gbay1281;Gbaya-Mbodomo;gmm
gbay1282;Gbaya Meridional-Occidental;
gbay1283;Gbaya Kara;
gbay1284;Gbaya Meridional;
gbay1285;Gbaya of Boda;
gbay1286;Gbaya-Bozoum;gbq
gbay1287;Gbaya-Bossangoa;gbp
gbay1288;Kresh-Woro;krs
gbay1289;Kresh Ndogo;
gbay1290;Kresh Hofra;
gbay1291;Ngbongbo;
gbay1292;Kresh;
gbed1241;Gbedde;
gbee1241;Gbe;
gbek1244;Gbekon;
gben1241;Gbende;
gben1242;Gbendembu;
gbep1238;Gbepo;
gber1234;Gberi-Morokodo-Mittu;
gbes1238;Gbesi Gbe;gbs
gbes1239;Gbesi;
gbet1241;Gbete;
gbey1243;Gbeya;
gbey1244;Gbeya-Suma;
gbey1245;Gbeyãse;
gbii1241;Gbi;
gbii1242;Gbii;ggb
gbin1238;Gbin (Ewe);
gbin1239;Gbin;xgb
gbir1241;Gbiri-Niragu;grh
gbir1242;Gbiri;
gble1234;Gblee Dan;
gbog1238;Gbogorose;
gbok1238;Gbokpa;
gbol1235;Gboloo Grebo;gec
gbol1236;Gboloo-Central Grebo;
gboo1244;Gbo;
gboo1245;Gbo (Western Krahn);
gboo1246;Gboo;
gbor1241;Gbor;
gbor1242;Gborbo;
gbow1238;Gbowe-Hran;
gbug1238;Gbugbla;
gbug1239;Gbugyar;
gcir1234;Gciriku;
gdon1234;Gdongbrgyad-Kamnyu;
geag1239;Geagea;
geal1238;Gcaleka;
geba1236;Geba-Bwe;
geba1237;Geba Karen;kvq
gebe1237;Gebe;gei
gebi1241;Gebi;
gebi1242;Gebirgsschlesische;
geda1237;Gedaged;gdd
gede1241;Gedegede;
gede1242;Gederobo;
gede1246;Gedeo;drs
geed1237;Geedam;
geee1239;Ge;hmj
geel1240;Geelvink Bay;
geez1241;Geez;gez
gehu1234;Gehuo;
geic1236;Geico;
geji1239;Gejiahua;
geji1246;Gejic;
geji1247;Geji;
geko1235;Geko Karen;ghk
gekx1238;Gekxun;
gela1261;Gelao;gio
gela1262;Gelama;
gela1263;Gela;nlg
gela1264;Gelao Mulao;giu
gela1265;Gelaoic;
gele1238;Gelekidoria;
geli1237;Gelimi;
gema1234;Kman-Meyor;
gema1236;Geman Deng;gen
geme1244;Geme;geq
geme1245;Geme Kulagbolu;
geme1246;Geme Tulu;
geme1247;Gemein Datooga;
gemm1234;Gemme of Gimuru-Dehnime;
gemz1238;Gemzek;
gend1248;Gendok;
gend1249;Gende;gaf
gend1251;Genda3;
gene1243;General Yokuts;
gene1244;General Yuman;
geng1243;Gengle;geg
geng1244;Gengele;
genn1243;Gen;gej
geno1240;Genoese;
geor1252;Georgian-Zan;
geor1253;Georgic;
geor1254;Georgian Sign Language;
gepo1234;Gepo;ygp
gera1240;Gerash;
gera1241;Gerai;gef
gera1246;Gera;gew
gera1247;Gera-Geruma-Kubi-Deno;
gera1248;Gera-Geruma;
gere1238;Gerep;
gerg1238;Gergere;
gerg1239;Gergye;
geri1237;Geri;
gerl1239;Gerlovo Turks;
germ1281;German Sign Language;gsg
germ1287;Germanic;
germ1288;German-Yiddish-Romani-Rotwelsch;
germ1289;German-based pidgin;
gert1234;Gertse;
geru1240;Geruma;gea
gesd1238;Gesda Dae;
gese1239;Seran Laut;
gese1240;Geser-Gorom;ges
gese1241;Geser-Gorom-Bati;
gesh1238;Geshiza;
gess1238;Gess;
gete1234;Getelands;
geya1234;Gey;guv
ghaa1238;Hangala;
ghad1239;Ghadames;gha
ghag1238;Ghagar of Egypt;
ghai1237;Ghaimuta;
ghal1246;Ghale;
ghal1247;Ghale-Tamangic;
ghan1235;Ghanaian Sign Language;gse
ghan1242;Ghanongga;ghn
ghan1244;Ghanaian Pidgin English;gpe
