Name;GLOTTOCODE;ISOCODE
Chuj;chuj1250;cac
Latin;;
Classical Arabic;;
Classical Greek;;
Germanic;;
Comorian;maor1244;swb
Coptic;copt1239;cop
Cuzco Quechua;cusc1236;quz
Czech;czec1258;ces
Dagur;daur1238;dta
Datooga;dato1239;tcc
Dendi;dend1243;ddn
Dharuk;;
Dravidian;;
Madurese;nucl1460;mad
Khmer;cent1989;khm
Turkic;;
East Turkic;;
Eastern Abenaki;east2544;aaq
Eastern Bantu;;
Spanish;stan1288;spa
European Colonial Language;;
Evenki;even1259;evn
Fennic;;
Fijian;fiji1243;fij
Finno-Ugric;;
Fon;fonn1241;fon
Frankish;;
French;stan1290;fra
French (Anglo-Norman);;
Old French;;
French (Picard);pica1241;pcd
French (Walloon);wall1255;wln
Ful;;ful
Gaelic;scot1245;gla
Gajirrabeng;gadj1243;gdh
Gbe;;
Ge‘ez;;
Gedaged;geda1237;gdd
Georgian;nucl1302;kat
German;stan1295;deu
German (Austrian);;
Early New High German;;
Low German;nort2627;nds
Middle High German;midd1343;gmh
Middle Low German;midd1318;gml
New High German;stan1295;deu
German (Upper Saxon);uppe1400;sxu
East Middle German;;
West Germanic;;
Gothic;goth1244;got
Greater Tzeltalan;;
Greek;mode1248;ell
Guaraní;para1311;gug
Gününa Yajüch;puel1244;pue
Guugu Yimidhirr;gugu1255;kky
Guyanese French Creole;guia1246;gcr
Hebrew;hebr1245;heb
High German;stan1295;deu
Hindi-Urdu;hind1269;hin
Arabic (Hispanic);;
Hmong-Mien;;
Huastec;huas1256;hsf
Hungarian;hung1274;hun
Igbo;nucl1417;ibo
Illyrian;;
English (Indian);;
French (Indian Ocean);;
Arabic (Indian Ocean);;
Indo-European;;
Indo-Iranian;;
Portuguese (Indian);;
Iranian;;
Middle Persian;;xmn
Italian;ital1282;ita
Old Italian;;
Itzaj;itza1241;itz
Jah Hut;jahh1242;jah
Jaminjung;djam1255;djd
Jaru;jaru1254;ddj
Javanese;java1254;jav
Jingulu;djin1251;jig
K’iche’an;;
Kalmyk;kalm1243;xal
Kam-Sui;;
Kannada;nucl1305;kan
Karelian;kare1335;krl
Karranga;mudb1240;mwd
Kaurna;;
Khalkha;halh1238;khk
Kija;kitj1240;gia
Komi;;kom
Kongo;koon1244;kng
Konso;kons1243;kxc
Korean;kore1280;kor
Kriol;krio1252;rop
Kurdish;;kur
Lak;lakk1252;lbe
Lao;laoo1244;lao
Late Latin;;
Medieval Latin;;
Vulgar Latin;;
Nheengatú;nhen1239;yrl
Loango;;
Lolo-Burmese;;
Arabic (Maghrebi);moro1292;ary
Makua;makh1264;vmw
Malay;stan1306;zsm
Malayalam;mala1464;mal
Malgwa;wand1278;mfi
Mande;;
Mandinka;mand1436;mnk
Māori;;
French (Mauritian);;
Mende;mend1266;men
Spanish (Mexican);;
Middle Chinese;midd1344;ltc
Middle Dutch;midd1321;dum
Middle French;midd1316;frm
Middle Iranian;;
Middle Mon;;
Middle North Germanic;;
Mikmaq;mikm1235;mic
Minangkabau;mina1268;min
Miriwung;miri1266;mep
Mixe-Zoquean;;
Mocho;moch1257;mhc
Modern Khmer;cent1989;khm
Modern Mon;monn1252;mnw
Mon;monn1252;mnw
Mon-Khmer;;
Mongolian;halh1238;khk
Mongolic;;
Mopan;mopa1243;mop
Mudburra;mudb1240;mwd
Nahuatl;;
Narragansett;mohe1244;mof
Neo-Latin;;
Nepali;nepa1252;nep
Ngaliwurru;;
Ngardi;;
Ngarinyman;ngar1235;nbj
Niger-Congo;;
Nilo-Saharan;;
Nobonob;nobo1238;gaw
North Germanic;;
Norwegian;norw1259;nob
Nungali;nung1291;nug
Nupe;nupe1254;nup
Nyamwezi;nyam1276;nym
Nyungar;nyun1247;nys
Occitan;occi1239;oci
Oghur;;
Old Chinese;;
Old Frisian;;
Indic;;
Sanskrit;sans1269;san
Old Irish;;
Old Javanese;;
Old Khmer;;
Old Lithuaninian;;
Old Mon;;
Old Norse;noon1243;nhu
Old Persian;;
Old Provençal;oldp1253;pro
Old Russian;;
Old Slavic;;
Old Thai;;
Oromo;;
Ossetian;osse1243;oss
Pacific Pidgin English;tokp1240;tpi
Pali;;
Pama-Nyungan;;
Munda;;
Persian;west2369;pes
Elamite;;
Phoenician;;
Pilagá;pila1245;plg
Polish;poli1260;pol
Portuguese;port1283;por
Batavian Portuguese Creole;;
Pre-Malagasy;;
Pre-Minangkabau;;
Pre-Oromo;;
Pre-Rangi;;
Pre-Sandawe;;
Proto-Austronesian;;
Proto-Austroasiatic;;
Proto Central-Eastern Malayo-Polynesian;;
Proto-Malayo-Polynesian;;
Proto-Mon-Khmer;;
Proto-Oceanic;;
Proto-Altaic;;
Proto-Chadic;;
Proto-Finnic;;
Proto-Germanic;;
Proto-Greater Kanjobalan;;
Proto-Hmong-Mien;;
Proto-Indo-European;;
Proto-Mixe-Zoquean;;
Proto-Mixean;;
Proto-Mongolic;;
Proto-Semitic;;
Proto-Slavic;;
Proto-Tai;;
Proto-West Chadic;;
Proto-Yucatecan;;
Q’anjob’alan;;
Qiangic;;
Quechua;;
Quiche;kich1262;quc
Ramoaaina;ramo1244;rai
Rarotongan;raro1241;rar
Romance;;
Russian;russ1263;rus
Ryukyuan;;
Saharan;;
Sambaa;sham1280;ksb
Sandawe;sand1273;sad
Gaelic (Scottish);scot1245;gla
Selkup;selk1253;sel
Semitic;;
Sena;nucl1396;seh
Serbian;serb1264;srp
Slavic;;
East Slavic;;
Slovak;slov1269;slk
Songhay;;
South Aslian;;
South Slavic;;
Macedonian;mace1250;mkd
Slovenian;slov1268;slv
South Sulawesi;;
South Cushitic;;
Southern Chinese;;
Wardaman;ward1246;wrr
Sranan;sran1240;srn
Standard Arabic;stan1318;arb
Sundanese;sund1252;sun
Suriname Portuguese;;
Tahitian;tahi1242;tah
Tai;;
Taino;tain1254;tnq
Tamasheq;;
Tamil;tami1289;tam
Tatar;tata1255;tat
Tharrgari;dhar1247;dhr
Tibetan;;
Tibeto-Burman;;
Loloish;;
Toba Batak;bata1289;bbc
Tocharian A;;
Tocharian B;;
Tojolabal;tojo1241;toj
Tok Pisin;tokp1240;tpi
Tolai;kuan1248;ksd
Tubu;daza1242;dzg
Tukano;tuca1252;tuo
Tupí;;
Tupi-Guaraní;;
Oghuric;;
Turkish;nucl1301;tur
Tzeltal;tzel1255;tzb
Chamula Tzotzil;tzot1262;tzc
Ukrainian;ukra1253;ukr
Unidentified;;
Upper Sorbian;uppe1395;hsb
Ute;utes1238;ute
Vlax Romani;vlax1238;rmy
Voltaic;;
Walmajarri;walm1241;wmt
Wambaya;wamb1258;wmb
Warlmanpa;wail1242;wlr
Warlpiri;warl1254;wbp
Warluwarra;warl1256;wrb
Warluwarric;;
Warumungu;waru1265;wrm
Waskia;wask1241;wsk
Welsh;wels1247;cym
English (West African Coastal);nige1257;pcm
French (West African);;
Malayo-Polynesian;;
Western Mayan;;
Wiradjuri;wira1262;wrh
Wolof;nucl1347;wol
Tabgač;;
Xiongnu;;
Yanyuwa;yany1243;jao
Yao;yaoo1241;yao
Yoruba;yoru1245;yor
Yucatecan;;
Zaramo;zara1247;zaj
Zigua;zigu1242;ziw
Kumyk;kumy1244;kum
Azeri;sout2697;azb
Punic;puni1241;xpu
Tongan;tong1325;ton
Samoan;samo1305;smo
Marquesan;sout2866;mqm
Croatian;croa1245;hrv
Twi;;twi
